state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
04,Arizona,013,Maricopa,18.0,4,13
04,Arizona,013,Maricopa,9.0,4,13
04,Arizona,019,Pima,20.0,4,19
06,California,001,Alameda,11.0,6,1
06,California,007,Butte,6.0,6,7
06,California,019,Fresno,11.0,6,19
06,California,029,Kern,7.0,6,29
06,California,029,Kern,3.0,6,29
06,California,029,Kern,7.0,6,29
06,California,037,Los Angeles,13.0,6,37
06,California,037,Los Angeles,18.0,6,37
06,California,051,Mono,5.0,6,51
06,California,067,Sacramento,35.0,6,67
06,California,071,San Bernardino,18.0,6,71
06,California,073,San Diego,23.0,6,73
06,California,083,Santa Barbara,0.0,6,83
06,California,089,Shasta,11.0,6,89
08,Colorado,041,El Paso,9.0,8,41
12,Florida,031,Duval,15.0,12,31
12,Florida,031,Duval,13.0,12,31
12,Florida,057,Hillsborough,19.0,12,57
15,Hawaii,003,Honolulu,10.0,15,3
17,Illinois,167,Sangamon,20.0,17,167
18,Indiana,097,Marion,32.0,18,97
21,Kentucky,101,Henderson,8.0,21,101
21,Kentucky,111,Jefferson,6.0,21,111
21,Kentucky,145,McCracken,13.0,21,145
21,Kentucky,145,McCracken,13.0,21,145
22,Louisiana,033,East Baton Rouge,5.0,22,33
24,Maryland,510,Baltimore (City),33.0,24,510
25,Massachusetts,025,Suffolk,13.0,25,25
26,Michigan,163,Wayne,19.0,26,163
27,Minnesota,137,Saint Louis,16.0,27,137
29,Missouri,189,Saint Louis,10.0,29,189
34,New Jersey,003,Bergen,41.0,34,3
34,New Jersey,023,Middlesex,17.0,34,23
35,New Mexico,001,Bernalillo,11.0,35,1
35,New Mexico,045,San Juan,6.0,35,45
36,New York,061,New York,13.0,36,61
36,New York,061,New York,24.0,36,61
36,New York,063,Niagara,13.0,36,63
37,North Carolina,119,Mecklenburg,28.0,37,119
39,Ohio,049,Franklin,10.0,39,49
39,Ohio,061,Hamilton,17.0,39,61
40,Oklahoma,109,Oklahoma,14.0,40,109
41,Oregon,035,Klamath,31.0,41,35
41,Oregon,051,Multnomah,28.0,41,51
42,Pennsylvania,049,Erie,7.0,42,49
42,Pennsylvania,101,Philadelphia,13.0,42,101
47,Tennessee,157,Shelby,38.0,47,157
48,Texas,029,Bexar,22.0,48,29
49,Utah,035,Salt Lake,19.0,49,35
50,Vermont,007,Chittenden,18.0,50,7
50,Vermont,007,Chittenden,20.0,50,7
51,Virginia,059,Fairfax,39.0,51,59
51,Virginia,710,Norfolk City,15.0,51,710
51,Virginia,760,Richmond City,17.0,51,760
53,Washington,033,King,55.0,53,33
53,Washington,033,King,22.0,53,33
53,Washington,077,Yakima,35.0,53,77
55,Wisconsin,079,Milwaukee,10.0,55,79
04,Arizona,013,Maricopa,56.0,4,13
04,Arizona,019,Pima,30.0,4,19
06,California,023,Humboldt,30.0,6,23
06,California,023,Humboldt,11.0,6,23
06,California,065,Riverside,18.0,6,65
06,California,071,San Bernardino,11.0,6,71
06,California,071,San Bernardino,22.0,6,71
06,California,071,San Bernardino,11.0,6,71
06,California,073,San Diego,24.0,6,73
06,California,083,Santa Barbara,11.0,6,83
06,California,083,Santa Barbara,7.0,6,83
06,California,085,Santa Clara,11.0,6,85
06,California,097,Sonoma,11.0,6,97
06,California,099,Stanislaus,0.0,6,99
08,Colorado,013,Boulder,28.0,8,13
08,Colorado,041,El Paso,9.0,8,41
08,Colorado,041,El Paso,9.0,8,41
15,Hawaii,003,Honolulu,6.0,15,3
17,Illinois,167,Sangamon,26.0,17,167
18,Indiana,097,Marion,27.0,18,97
