state_code,state_name,county_code,county_name,aqi
6,California,1,Alameda,11.0
6,California,7,Butte,6.0
6,California,19,Fresno,11.0
6,California,29,Kern,7.0
6,California,29,Kern,3.0
6,California,29,Kern,7.0
6,California,37,Los Angeles,13.0
6,California,37,Los Angeles,18.0
6,California,51,Mono,5.0
6,California,67,Sacramento,35.0
6,California,71,San Bernardino,18.0
6,California,73,San Diego,23.0
6,California,83,Santa Barbara,0.0
6,California,89,Shasta,11.0
42,Pennsylvania,49,Erie,7.0
42,Pennsylvania,101,Philadelphia,13.0
48,Texas,29,Bexar,22.0
6,California,23,Humboldt,30.0
6,California,23,Humboldt,11.0
6,California,65,Riverside,18.0
6,California,71,San Bernardino,11.0
6,California,71,San Bernardino,22.0
6,California,71,San Bernardino,11.0
6,California,73,San Diego,24.0
6,California,83,Santa Barbara,11.0
6,California,83,Santa Barbara,7.0
6,California,85,Santa Clara,11.0
6,California,97,Sonoma,11.0
6,California,99,Stanislaus,0.0
42,Pennsylvania,43,Dauphin,6.0
42,Pennsylvania,71,Lancaster,5.0
42,Pennsylvania,101,Philadelphia,10.0
48,Texas,29,Bexar,6.0
48,Texas,113,Dallas,2.0
6,California,7,Butte,9.0
6,California,29,Kern,19.0
6,California,37,Los Angeles,23.0
6,California,37,Los Angeles,33.0
6,California,37,Los Angeles,10.0
6,California,53,Monterey,16.0
6,California,61,Placer,13.0
6,California,83,Santa Barbara,47.0
6,California,83,Santa Barbara,0.0
6,California,85,Santa Clara,6.0
6,California,107,Tulare,11.0
42,Pennsylvania,11,Berks,19.0
42,Pennsylvania,11,Berks,16.0
42,Pennsylvania,49,Erie,18.0
42,Pennsylvania,69,Lackawanna,5.0
42,Pennsylvania,101,Philadelphia,13.0
42,Pennsylvania,125,Washington,9.0
48,Texas,141,El Paso,47.0
6,California,1,Alameda,11.0
6,California,13,Contra Costa,15.0
6,California,17,El Dorado,16.0
6,California,19,Fresno,5.0
6,California,45,Mendocino,0.0
6,California,65,Riverside,13.0
