state_code,state_name,county_code,county_name,aqi
4,Arizona,13,Maricopa,18.0
4,Arizona,13,Maricopa,9.0
4,Arizona,19,Pima,20.0
8,Colorado,41,El Paso,9.0
12,Florida,31,Duval,15.0
12,Florida,31,Duval,13.0
12,Florida,57,Hillsborough,19.0
15,Hawaii,3,Honolulu,10.0
17,Illinois,167,Sangamon,20.0
18,Indiana,97,Marion,32.0
21,Kentucky,101,Henderson,8.0
21,Kentucky,111,Jefferson,6.0
21,Kentucky,145,McCracken,13.0
21,Kentucky,145,McCracken,13.0
22,Louisiana,33,East Baton Rouge,5.0
24,Maryland,510,Baltimore (City),33.0
25,Massachusetts,25,Suffolk,13.0
26,Michigan,163,Wayne,19.0
27,Minnesota,137,Saint Louis,16.0
29,Missouri,189,Saint Louis,10.0
34,New Jersey,3,Bergen,41.0
34,New Jersey,23,Middlesex,17.0
35,New Mexico,1,Bernalillo,11.0
35,New Mexico,45,San Juan,6.0
36,New York,61,New York,13.0
36,New York,61,New York,24.0
36,New York,63,Niagara,13.0
37,North Carolina,119,Mecklenburg,28.0
39,Ohio,49,Franklin,10.0
39,Ohio,61,Hamilton,17.0
40,Oklahoma,109,Oklahoma,14.0
41,Oregon,35,Klamath,31.0
41,Oregon,51,Multnomah,28.0
47,Tennessee,157,Shelby,38.0
49,Utah,35,Salt Lake,19.0
50,Vermont,7,Chittenden,18.0
50,Vermont,7,Chittenden,20.0
51,Virginia,59,Fairfax,39.0
51,Virginia,710,Norfolk City,15.0
51,Virginia,760,Richmond City,17.0
53,Washington,33,King,55.0
53,Washington,33,King,22.0
53,Washington,77,Yakima,35.0
55,Wisconsin,79,Milwaukee,10.0
4,Arizona,13,Maricopa,56.0
4,Arizona,19,Pima,30.0
8,Colorado,13,Boulder,28.0
8,Colorado,41,El Paso,9.0
8,Colorado,41,El Paso,9.0
15,Hawaii,3,Honolulu,6.0
17,Illinois,167,Sangamon,26.0
18,Indiana,97,Marion,27.0
19,Iowa,153,Polk,14.0
20,Kansas,173,Sedgwick,16.0
22,Louisiana,71,Orleans,5.0
24,Maryland,1,Allegany,9.0
24,Maryland,31,Montgomery,24.0
26,Michigan,163,Wayne,17.0
27,Minnesota,53,Hennepin,16.0
29,Missouri,47,Clay,6.0
29,Missouri,95,Jackson,3.0
30,Montana,63,Missoula,14.0
32,Nevada,31,Washoe,52.0
32,Nevada,31,Washoe,8.0
34,New Jersey,7,Camden,7.0
35,New Mexico,45,San Juan,17.0
35,New Mexico,45,San Juan,14.0
36,New York,55,Monroe,18.0
36,New York,63,Niagara,6.0
36,New York,93,Schenectady,19.0
39,Ohio,49,Franklin,11.0
39,Ohio,95,Lucas,13.0
40,Oklahoma,27,Cleveland,7.0
40,Oklahoma,143,Tulsa,13.0
40,Oklahoma,143,Tulsa,16.0
47,Tennessee,157,Shelby,74.0
49,Utah,11,Davis,22.0
49,Utah,35,Salt Lake,19.0
51,Virginia,59,Fairfax,15.0
51,Virginia,510,Alexandria City,13.0
51,Virginia,700,Newport News City,8.0
53,Washington,33,King,44.0
53,Washington,61,Snohomish,76.0
53,Washington,63,Spokane,32.0
54,West Virginia,25,Greenbrier,2.0
55,Wisconsin,79,Milwaukee,22.0
72,Puerto Rico,127,San Juan,35.0
72,Puerto Rico,127,San Juan,18.0
1,Alabama,73,Jefferson,23.0
4,Arizona,13,Maricopa,66.0
4,Arizona,13,Maricopa,14.0
4,Arizona,13,Maricopa,60.0
4,Arizona,19,Pima,20.0
4,Arizona,19,Pima,36.0
8,Colorado,41,El Paso,25.0
8,Colorado,41,El Paso,7.0
8,Colorado,41,El Paso,10.0
8,Colorado,41,El Paso,8.0
11,District Of Columbia,1,District of Columbia,22.0
12,Florida,11,Broward,17.0
12,Florida,11,Broward,24.0
12,Florida,11,Broward,15.0
12,Florida,57,Hillsborough,13.0
13,Georgia,89,DeKalb,8.0
17,Illinois,167,Sangamon,16.0
18,Indiana,141,St. Joseph,9.0
18,Indiana,163,Vanderburgh,15.0
25,Massachusetts,25,Suffolk,23.0
26,Michigan,99,Macomb,31.0
27,Minnesota,123,Ramsey,20.0
31,Nebraska,55,Douglas,28.0
32,Nevada,3,Clark,13.0
34,New Jersey,1,Atlantic,26.0
34,New Jersey,3,Bergen,11.0
35,New Mexico,1,Bernalillo,13.0
36,New York,59,Nassau,7.0
36,New York,63,Niagara,9.0
37,North Carolina,119,Mecklenburg,11.0
49,Utah,35,Salt Lake,31.0
49,Utah,49,Utah,42.0
49,Utah,49,Utah,15.0
53,Washington,77,Yakima,58.0
53,Washington,77,Yakima,57.0
55,Wisconsin,79,Milwaukee,14.0
55,Wisconsin,79,Milwaukee,9.0
55,Wisconsin,101,Racine,35.0
72,Puerto Rico,127,San Juan,28.0
80,Country Of Mexico,6,CHIHUAHUA STATE,45.0
4,Arizona,13,Maricopa,8.0
4,Arizona,13,Maricopa,18.0
4,Arizona,19,Pima,16.0
4,Arizona,19,Pima,30.0
4,Arizona,19,Pima,5.0
8,Colorado,5,Arapahoe,15.0
8,Colorado,31,Denver,28.0
8,Colorado,69,Larimer,5.0
8,Colorado,69,Larimer,6.0
9,Connecticut,1,Fairfield,24.0
12,Florida,11,Broward,5.0
12,Florida,31,Duval,13.0
12,Florida,31,Duval,16.0
12,Florida,86,Miami-Dade,43.0
15,Hawaii,3,Honolulu,5.0
15,Hawaii,3,Honolulu,7.0
17,Illinois,167,Sangamon,14.0
19,Iowa,153,Polk,18.0
21,Kentucky,111,Jefferson,15.0
21,Kentucky,145,McCracken,8.0
24,Maryland,33,Prince George's,3.0
25,Massachusetts,13,Hampden,19.0
26,Michigan,77,Kalamazoo,6.0
26,Michigan,77,Kalamazoo,6.0
27,Minnesota,53,Hennepin,32.0
32,Nevada,31,Washoe,13.0
34,New Jersey,17,Hudson,32.0
34,New Jersey,23,Middlesex,20.0
34,New Jersey,39,Union,16.0
36,New York,47,Kings,48.0
37,North Carolina,67,Forsyth,18.0
37,North Carolina,67,Forsyth,23.0
39,Ohio,35,Cuyahoga,36.0
39,Ohio,35,Cuyahoga,31.0
39,Ohio,35,Cuyahoga,11.0
39,Ohio,99,Mahoning,2.0
41,Oregon,29,Jackson,51.0
41,Oregon,39,Lane,32.0
47,Tennessee,93,Knox,27.0
47,Tennessee,157,Shelby,7.0
